abbreviation,name_in_this_list,name_in_main_bibliography,main_publication_count
ZMEK,"Zoologičeskij muzej È.A. Èversmanna, Kazanskij federal′nyj universitet [È.A. Èversmann Zoological Museum, Federal University of Kazan′]","Zoologičeskij muzej È.A. Èversmanna, Kazanskij federal′nyj universitet [È.A. Èversmann Zoological Museum, Federal University of Kazan′]",4
ZMSPBU,"Zoologičeskij muzej, Kafedra zoologii pozvonočnyh, Sankt-Peterburgskij gosudarstvennyj universitet [Museum of Zoology, Department of Vertebrate Zoology, St. Petersburg State University]","ZoologiÄeskij muzej, Kafedra zoologii pozvonoÄnyh, Sankt-Peterburgskij gosudarstvennyj universitet [Museum of Zoology, Department of Vertebrate Zoology, St. Petersburg State University]",1
SOKM,Saratovskij oblastnoj kraevedčeskij muzej [Saratov Regional Museum of Local History],Saratovskij oblastnoj kraevedÄeskij muzej [Saratov Regional Museum of Local History],6
CMT,Central′nyj muzej Tavridy [Central Museum of the Tauris],Central′nyj muzej Tavridy [Central Museum of the Tauris],2
IFAN,Institut fundamental d’Afrique noire,Institut fundamental d’Afrique noire (in 1936-1966: Institut français d’Afrique noire),1
LKCNHM,"Lee Kong Chian Natural History Museum, National University of Singapore","Lee Kong Chian Natural History Museum, National University of Singapore",1
MZBA,"Laboratori de Natura, Museu de Cièmcias Naturals de Barcelona [Nature Laboratory, Natural History Museum of Barcelona]","Laboratori de Natura, Museu de Cièmcias Naturals de Barcelona [Nature Laboratory, Natural History Museum of Barcelona]",1
MCNZ,Museo de Ciencias Naturales de Zaragoza [Natural History Museum of Zaragoza],Museo de Ciencias Naturales de Zaragoza [Natural History Museum of Zaragoza],1
GNM,Naturhistoriska Museet [Natural History Museum],Naturhistoriska Museet [Natural History Museum],1
SVS,Schweizerische Vogelwarte Sempach,Schweizerische Vogelwarte Sempach,1
MZOA,Muzej Zakaspìjskoj oblasti [Museum of the Transcaspian Province]. ● Often briefly called: “Zakaspijskij muzej” (Transcaspian Museum).,Muzej Zakaspìjskoj oblasti [Museum of the Transcaspian Province]. ● Often briefly called: “Zakaspijskij muzej” (Transcaspian Museum).,1
ZMKU,"Zoologìčnij muzej, Ìnstitut bìologìï, Kiìvs′kij nacìonal′nij unìversitet ìmenì Tarasa Ševčenka [Zoological Museum, Institute of Biology, Taras Shevchenko National University of Kiev]","Zoologìčnij muzej, Ìnstitut bìologìï, Kiìvs′kij nacìonal′nij unìversitet ìmenì Tarasa Ševčenka [Zoological Museum, Institute of Biology, Taras Shevchenko National University of Kiev]",2
DPML,Deržavnij Prirodoznavčij Muzej [State Museum of Natural History],DerÅ¾avnij PrirodoznavÄij Muzej [State Museum of Natural History],4
FMNH,Field Museum of Natural History,Field Museum of Natural History,1
ZMAU,"Zoology Museum, University of Aberdeen","Zoology Museum, University of Aberdeen",1
FMP,Museum of the Army Medical Department,Museum of the Army Medical Department,2
DMNH,Delaware Museum of Natural History,Delaware Museum of Natural History,2
RAMM,Royal Albert Memorial Museum & Art Gallery,Royal Albert Memorial Museum & Art Gallery,1
MANCH,"Manchester Museum, University of Manchester","Manchester Museum, University of Manchester",1
NEWHM,Great North Museum: Hancock,Great North Museum: Hancock,1
NCM,Norwich Castle Museum,Norwich Castle Museum,5
MMNH,"Bell Museum of Natural History, University of Minnesota",Muséum d’Histoire Naturelle de Marseille,1
PSM,"Puget Sound Museum of Natural History, University of Puget Sound","Puget Sound Museum of Natural History, University of Puget Sound",1
NHMZB,Natural History Museum of Zimbabwe,Natural History Museum of Zimbabwe,2
